SMILES,LogS,MW,MW_Group
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,429.77200000000016,>400
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01,360.88200000000006,>400
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,429.77200000000016,>400
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,360.88200000000006,>400
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,291.99199999999996,200-300
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92,395.3270000000001,>400
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94,395.3270000000001,>400
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68,360.88200000000006,>400
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,326.437,>400
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,326.437,>400
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42,360.88200000000006,>400
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47,291.9920000000001,200-300
CC(C)C(C)(C)C,-4.36,100.20499999999998,<200
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,-8.56,360.88200000000006,>400
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71,360.88200000000006,>400
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57,291.99199999999996,200-300
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,326.437,>400
CC(C)CC(C)(C)C,-4.74,114.23199999999999,<200
CC(C)CCC(C)(C)C,-5.05,128.259,<200
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-7.39,291.99199999999996,200-300
CCC(C)(C)CO,-1.04,102.17699999999998,<200
CCC(C)(C)C,-3.55,86.17799999999998,<200
CCCC(C)(C)C,-4.36,100.20499999999998,<200
CCCC(C)(C)CO,-1.52,116.20399999999998,<200
CC(C)(C)CO,-0.4,88.14999999999999,<200
Clc1ccccc1c2ccccc2Cl ,-5.27,223.102,200-300
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.82,360.88200000000006,>400
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-7.66,395.3270000000001,>400
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.39,360.88200000000006,>400
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8,326.437,>400
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-7.92,326.437,>400
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,291.992,200-300
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15,231.893,200-300
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1,231.89299999999997,200-300
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,257.547,200-300
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.26,257.547,200-300
Oc1ccc(Cl)c(Cl)c1Cl,-2.67,197.448,<200
CC(C)C(C)C(C)C,-4.8,114.23199999999999,<200
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,231.893,200-300
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,257.547,200-300
Oc1cc(Cl)cc(Cl)c1Cl,-2.67,197.44799999999998,<200
Oc1c(Cl)ccc(Cl)c1Cl,-2.64,197.44799999999998,<200
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,192.00100000000003,<200
Oc1cccc(Cl)c1Cl,-1.3,163.003,<200
CC(=C)C(=C)C,-2.4,82.146,<200
CC(C)C(C)C,-3.65,86.178,<200
Cc1cc2ccccc2cc1C,-4.72,156.22799999999998,<200
CCC(C)C(C)C,-4.28,100.20499999999998,<200
Cc1cccnc1C,0.38,107.156,<200
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.27,257.547,200-300
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25,257.547,200-300
Oc1cc(Cl)c(Cl)cc1Cl,-2.21,197.448,<200
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-6.14,257.547,200-300
Oc1c(Cl)cc(Cl)cc1Cl,-2.34,197.44799999999998,<200
Cc1cc(C)c(O)c(C)c1,-2.05,136.194,<200
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,227.13199999999998,200-300
Oc1ccc(Cl)cc1Cl,-1.55,163.003,<200
CC(C)CC(C)(C)O,-0.92,116.20399999999998,<200
CC(C)C(O)C(C)C,-1.22,116.20399999999998,<200
CC(C)C(=O)C(C)C,-1.3,114.18799999999997,<200
CC(C)CC(C)C,-4.26,100.20499999999998,<200
Cc1ccc(O)c(C)c1,-1.19,122.16699999999999,<200
Cc1ccnc(C)c1,0.38,107.15599999999999,<200
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,182.135,<200
Clc1ccc(cc1)c2ccccc2Cl ,-5.28,223.102,200-300
Clc1ccc(cc1)c2ccccc2Cl ,-5.25,223.102,200-300
Oc1c(Cl)cccc1Cl,-1.79,163.003,<200
Cc1ccc2cc(C)ccc2c1,-4.89,156.228,<200
Cc1cccc(C)c1O,-1.29,122.16699999999999,<200
Cc1cccc(C)n1,0.45,107.156,<200
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,182.135,<200
Clc1cccc(Cl)c1c2ccccc2 ,-5.21,223.102,200-300
c2c(C)cc1nc(C)ccc1c2 ,-1.94,157.216,<200
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,193.249,<200
c1c(Br)ccc2ccccc12 ,-4.4,207.07000000000002,200-300
Brc1ccc2ccccc2c1,-4.4,207.07,200-300
CC(C)Br,-1.59,122.993,<200
Cc1ccccc1Br,-2.23,171.03699999999998,<200
CCC(=O)C,0.52,72.107,<200
CC=CC=O,0.32,70.09100000000001,<200
CCCCOCCO,-0.42,118.17599999999999,<200
CCC(C)(C)Cl,-2.51,106.59599999999999,<200
COc1ccccc1Cl,-2.46,142.58499999999998,<200
Clc1ccccc1c2ccccc2,-4.54,188.657,<200
CCC(C)Cl,-1.96,92.569,<200
Clc1ccc2ccccc2c1,-4.14,162.61899999999997,<200
Oc1ccccc1Cl,-1.06,128.558,<200
CC(C)Cl,-1.41,78.542,<200
Cc1ccccc1Cl,-3.52,126.586,<200
NC(N)=NC#N ,-0.31,84.082,<200
CCCCCCCCC(=O)C,-3.3,156.269,<200
CCc1ccccn1,0.51,107.15599999999998,<200
CCC(CC)CO,-1.17,102.17699999999999,<200
CCCCC(CC)CO,-2.11,130.231,<200
CCCC=C(CC)C=O,-2.46,126.19899999999998,<200
CCC(CC)C=O,-1.52,100.16099999999999,<200
CCCCC(CC)C=O,-2.13,128.21499999999997,<200
CCc1ccc2ccccc2c1,-4.29,156.22799999999998,<200
CCc1ccccc1C,-3.21,120.19499999999996,<200
CCCCCC(C)O,-1.55,116.20399999999998,<200
CCCCCC(=O)C,-1.45,114.18799999999999,<200
CCCCC(C)O,-0.89,102.17699999999998,<200
CCCCC(=O)C,-0.8,100.16099999999999,<200
Oc2ncc1nccnc1n2,-1.947,148.125,<200
Oc1ccccn1,1.02,95.101,<200
CC(C)I,-2.09,169.993,<200
CC(C)c1ccccc1C,-3.76,134.22199999999995,<200
COc2ncc1nccnc1n2,-1.11,162.152,<200
CC=C(C)C,-2.56,70.13499999999999,<200
CC(=C)C=C,-2.03,68.11900000000001,<200
CCC(=C)C,-2.73,70.13499999999999,<200
CCCC(=C)C,-3.03,84.16199999999999,<200
CCCCCC(C)(C)O,-1.72,130.231,<200
CCCCC(C)(C)O,-1.08,116.20399999999998,<200
CCCC(C)(C)O,-0.49,102.17699999999998,<200
CCC(O)C(C)C,-0.7,102.17699999999999,<200
Cc1ccc2cc3ccccc3cc2c1,-6.96,192.261,<200
CCC(C)(C)O,0.15,88.14999999999998,<200
CCC(C)C,-3.18,72.151,<200
CCC(C)CO,-0.47,88.14999999999999,<200
CCCCCC(C)C,-5.08,114.23199999999999,<200
Cc1ccc2ccccc2c1,-3.77,142.201,<200
CCCC(C)C,-3.74,86.178,<200
CCCC(C)CO,-1.11,102.17699999999999,<200
Cc1ccc2c(ccc3ccccc32)c1,-5.84,192.261,<200
Cc1ccccc1O,-0.62,108.13999999999999,<200
CC(C)CO,0.1,74.12299999999999,<200
CC(C)C,-2.55,58.123999999999995,<200
CC(=C)C,-2.33,56.108000000000004,<200
Cc2ncc1nccnc1n2,-0.12,146.153,<200
CC1CCCO1,0.11,86.134,<200
Oc1ccc2ccccc2c1,-2.28,144.17299999999997,<200
CC(C)N(=O)=O,-0.62,89.094,<200
CCCCCCCC(C)O,-2.74,144.258,<200
CCCCCCCC(=O)C,-2.58,142.242,<200
CCCCCCC(C)O,-2.09,130.231,<200
CCCCCCC(=O)C,-2.05,128.21499999999997,<200
CCCC(C)O,-0.29,88.14999999999999,<200
CCCC(=O)C,-0.19,86.13399999999999,<200
OCCOc1ccccc1,-0.7,138.16599999999997,<200
CC(C)O,0.43,60.096000000000004,<200
O=C1CCCN1,1.07,85.10600000000001,<200
CCCCCCCCCC(C)O,-2.94,172.312,<200
CC(C)(C)CCO,-0.5,102.17699999999999,<200
CC(O)C(C)(C)C,-0.62,102.17699999999999,<200
CC(=O)C(C)(C)C,-0.72,100.16099999999999,<200
CCC(C)(C)CC,-4.23,100.20499999999998,<200
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,192.001,<200
Oc1ccc(Cl)c(Cl)c1,-1.25,163.00300000000001,<200
Cc1ccc(O)cc1C,-1.38,122.16699999999999,<200
Cc1ccncc1C,0.36,107.15599999999999,<200
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,223.102,200-300
Oc1cc(Cl)cc(Cl)c1,-1.34,163.003,<200
Cc1cc(C)cc(O)c1,-1.4,122.16699999999997,<200
Cc1cncc(C)c1,0.38,107.15599999999998,<200
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071,352.39000000000004,>400
COc1cccc(Cl)c1,-2.78,142.58499999999998,<200
c1c(Cl)cccc1c2ccccc2,-4.88,188.657,<200
Oc1cccc(Cl)c1,-0.7,128.558,<200
ClCCC#N ,-0.29,89.525,<200
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,324.33600000000007,>400
CCC(O)(CC)CC,-0.85,116.204,<200
CCCCC(O)CC,-1.47,116.20399999999998,<200
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,394.471,>400
CCCC(O)CC,-0.8,102.17699999999999,<200
CCCC(=O)CC,-0.83,100.16099999999999,<200
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,380.444,>400
CCC#CCC,-1.99,82.14599999999999,<200
CC(C)C=C,-2.73,70.135,<200
CC(C)C(C)O,-0.18,88.14999999999999,<200
CC(C)C(=O)C,-0.12,86.13399999999999,<200
CCC(C)CCO,-0.72,102.17699999999999,<200
CCC(C)CCO,-0.71,102.17699999999999,<200
CCC(C)C(=O)C,-0.67,100.16099999999999,<200
CCCCC(C)(O)CC,-1.6,130.23099999999997,<200
CCCC(C)(O)CC,-0.98,116.20399999999998,<200
CCC(C)(O)CC,-0.36,102.17699999999998,<200
CC(C)CCO,-0.51,88.14999999999999,<200
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92,268.3589999999999,200-300
CCCCC(C)CC,-5.16,114.23199999999999,<200
Cc1c[nH]c2ccccc12 ,-2.42,131.17799999999997,<200
CCC(C)CC,-3.68,86.178,<200
Cc1cccc(O)c1,-0.68,108.13999999999999,<200
CCCCCC(O)CC,-1.98,130.23099999999997,<200
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,408.498,>400
CCC(O)CC,-0.24,88.15,<200
CCC(=O)CC,-0.28,86.134,<200
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,366.41700000000003,>400
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,338.36300000000006,>400
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,223.102,200-300
Oc1ccc(Br)cc1,-1.09,173.00900000000001,<200
Cc1ccc(Br)cc1,-3.19,171.03700000000003,<200
COc1ccc(Cl)cc1,-2.78,142.585,<200
Oc1ccc(Cl)cc1,-0.7,128.558,<200
Cc1ccc(Cl)cc1,-3.08,126.586,<200
CCc1ccc(C)cc1,-3.11,120.19499999999996,<200
CCCC(O)CCC,-1.4,116.204,<200
CCCC(=O)CCC,-1.3,114.18799999999999,<200
c1(O)cc(O)ccc1CCCCCC,-2.59,194.27399999999992,<200
Oc1ccncc1,1.02,95.10099999999998,<200
CC(C)c1ccc(C)cc1,-3.77,134.22199999999998,<200
COc1ncnc2nccnc12 ,-1.11,162.15200000000002,<200
CC(C)CC(C)O,-0.8,102.17699999999998,<200
CC(C)CC(=O)C,-0.74,100.16099999999999,<200
Cc1ccc(cc1)c2ccccc2,-4.62,168.239,<200
CC(C)CCCO,-1.14,102.17699999999999,<200
Cc1ncnc2nccnc12,-0.466,146.15299999999996,<200
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.692,180.16299999999998,<200
OCCCC=C,-0.15,86.134,<200
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253,224.25999999999996,200-300
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593,238.28699999999998,200-300
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077,208.21699999999996,200-300
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,212.249,200-300
O=C1NC(=O)NC(=O)C1(C)C,-1.742,156.141,<200
Oc2ccc1CCCCc1c2 ,-1.99,148.205,<200
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01,256.348,200-300
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614,196.20599999999996,<200
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.708,210.23299999999998,200-300
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,182.17899999999997,<200
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,244.25,200-300
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658,226.27599999999995,200-300
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148,198.22199999999998,<200
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322,232.239,200-300
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,130.078,<200
Oc1cccc2ncccc12 ,-2.54,145.161,<200
O=C1NC(=O)NC(=O)C1(C)CC,-1.228,170.16799999999998,<200
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59,242.321,200-300
Nc1c(C)c[nH]c(=O)n1 ,-1.458,125.13099999999999,<200
CCCCC(=O)CCCC,-2.58,142.242,<200
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2,243.309,200-300
Oc2ccc1ncccc1c2 ,-2.16,145.161,<200
COc2cnc1ncncc1n2,-1.139,162.15200000000002,<200
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,242.321,200-300
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,256.348,200-300
COc2cnc1cncnc1n2,-0.91,162.152,<200
Cc2cnc1cncnc1n2,-0.854,146.153,<200
Oc1cccc2cccnc12 ,-2.42,145.16099999999997,<200
Cc1c2ccccc2c(C)c3ccccc13,-6.57,206.28799999999998,200-300
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,194.23299999999998,<200
Cc1c2ccccc2cc3ccccc13,-5.89,192.261,<200
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237,466.47900000000016,>400
C1Cc2cccc3cccc1c23,-4.63,154.21199999999996,<200
C1=Cc2cccc3cccc1c23,-3.96,152.19599999999994,<200
COP(=O)(NC(C)=O)SC ,0.54,183.16899999999998,<200
CC(=O)N,1.58,59.068,<200
CC(=O)Nc1ccccc1,-1.33,135.16599999999997,<200
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,222.251,200-300
CC#N,0.26,41.053,<200
CC(=O)c1ccccc1,-1.28,120.15099999999995,<200
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,-3.59,293.34800000000007,200-300
c3ccc2nc1ccccc1cc2c3,-3.67,179.22199999999998,<200
C=CC=O,0.57,56.064,<200
C=CC#N,0.15,53.06399999999999,<200
Nc1ncnc2nc[nH]c12 ,-2.12,135.13,<200
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48,300.3980000000001,>400
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,269.77199999999993,200-300
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85,360.45000000000005,>400
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,364.914,>400
NC(=O)NC1NC(=O)NC1=O ,-1.6,158.117,<200
C=CCS(=O)SCC=C,-0.83,162.27899999999997,<200
O=c1[nH]cnc2[nH]ncc12 ,-2.266,136.114,<200
O=C1NC(=O)C(=O)C(=O)N1 ,-1.25,142.07,<200
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99,286.156,200-300
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364,210.285,200-300
CCNc1nc(NC(C)C)nc(SC)n1,-3.04,227.337,200-300
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,457.4320000000001,>400
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,208.26099999999997,200-300
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-0.364,231.299,200-300
Nc1nccs1 ,-0.36,100.14599999999999,<200
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,293.41400000000004,200-300
Nc1nc[nH]n1,0.522,84.082,<200
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,226.27599999999998,200-300
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,203.245,200-300
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,256.30499999999995,200-300
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69,286.415,200-300
CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402,290.447,200-300
COc1ccc(C=CC)cc1,-3.13,148.20499999999998,<200
Nc1ccccc1,-0.41,93.12899999999999,<200
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,367.86,>400
COc1ccccc1,-1.85,108.13999999999997,<200
c1ccc2cc3ccccc3cc2c1,-6.35,178.23399999999995,<200
O=C1c2ccccc2C(=O)c3ccccc13,-5.19,208.21599999999998,200-300
Cc1cc(=O)n(c2ccccc2)n1C,0.715,188.23000000000002,<200
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-3.538,300.3620000000001,>400
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,366.84400000000016,>400
CCNc1nc(NC(C)C)nc(OC)n1,-2.084,211.26899999999998,200-300
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,215.68800000000002,200-300
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,259.762,200-300
N(=Nc1ccccc1)c2ccccc2,-4.45,182.226,<200
CNC(=O)C=C(C)OP(=O)(OC)OC,0.651,223.16499999999996,200-300
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37,258.104,200-300
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,184.19499999999996,<200
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59,421.4220000000001,>400
CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.53,335.28200000000004,>400
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71,410.53600000000023,>400
c1c(NC(=O)c2ccccc2(I))cccc1,-4.21,323.133,>400
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883,290.323,200-300
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,397.52400000000006,>400
